line,start,end,money saved,best_path
1,AEROPUERTO DE GRAN CANARIA ,ARGUINEGUÍN,0.05,AEROPUERTO DE GRAN CANARIA  -> CRUCE SARDINA -> ARGUINEGUÍN
1,AEROPUERTO DE GRAN CANARIA ,CRUCE DEL PAJAR,0.05,AEROPUERTO DE GRAN CANARIA  -> MORRO BESUDO -> CRUCE DEL PAJAR
1,AEROPUERTO DE GRAN CANARIA ,CRUCE TABLERO,0.05,AEROPUERTO DE GRAN CANARIA  -> CRUCE SARDINA -> CRUCE TABLERO
1,AEROPUERTO DE GRAN CANARIA ,PATALAVACA,0.1,AEROPUERTO DE GRAN CANARIA  -> MORRO BESUDO -> PATALAVACA
1,AEROPUERTO DE GRAN CANARIA ,TAURO,0.2,AEROPUERTO DE GRAN CANARIA  -> CRUCE SARDINA -> TAURO
1,ARGUINEGUÍN,AEROPUERTO DE GRAN CANARIA ,0.05,ARGUINEGUÍN -> CRUCE SARDINA -> AEROPUERTO DE GRAN CANARIA 
1,ARGUINEGUÍN,CRUCE DE GANDO,0.05,ARGUINEGUÍN -> CRUCE SARDINA -> CRUCE DE GANDO
1,ARGUINEGUÍN,CRUCE DE MELENARA,0.05,ARGUINEGUÍN -> BAHÍA  FELÍZ -> CRUCE DE MELENARA
1,ARGUINEGUÍN,CRUCE VALLE DE JINAMAR,0.1,ARGUINEGUÍN -> BAHÍA  FELÍZ -> CRUCE VALLE DE JINAMAR
1,ARGUINEGUÍN,LA PARDILLA,0.1,ARGUINEGUÍN -> CRUCE TABLERO -> LA PARDILLA
1,BAHÍA  FELÍZ,CRUCE DE MOGÁN,0.05,BAHÍA  FELÍZ -> ARGUINEGUÍN -> CRUCE DE MOGÁN
1,BAHÍA  FELÍZ,PLAYA DEL CURA,0.05,BAHÍA  FELÍZ -> ARGUINEGUÍN -> PLAYA DEL CURA
1,BAHÍA  FELÍZ,PUERTO MOGÁN - ESTACIÓN MOGÁN,0.1,BAHÍA  FELÍZ -> CRUCE TABLERO -> PUERTO MOGÁN - ESTACIÓN MOGÁN
1,CRUCE ARINAGA,CRUCE DEL PAJAR,0.05,CRUCE ARINAGA -> SAN FERNANDO - MASPALOMAS -> CRUCE DEL PAJAR
1,CRUCE ARINAGA,PUERTO MOGÁN - ESTACIÓN MOGÁN,0.1,CRUCE ARINAGA -> SAN FERNANDO - MASPALOMAS -> PUERTO MOGÁN - ESTACIÓN MOGÁN
